city,idx,today_o3_average,tomorrow_o3_average
Anglet,5063.0,29.0,29.0
Angers,4991.0,34.0,30.0
Amiens,5175.0,21.0,28.0
Allauch,9073.0,18.0,40.0
Alfortville,5722.0,26.0,29.0
Alès,,,
Alençon,4605.0,26.0,33.0
Albi,3834.0,20.0,36.0
Albertville,3037.0,22.0,31.0
Ajaccio,5022.0,32.0,30.0
Aix-les-Bains,,,
Aix-en-Provence,6891.0,28.0,38.0
Agen,5067.0,,
Agde,,,
Achères,3104.0,29.0,32.0
Abbeville,,,
Villeneuve-d'Ascq,6260.0,23.0,17.0
Les Ulis,,,
Bourgoin-Jallieu,7739.0,18.0,26.0
Marseille 01,6882.0,18.0,40.0
Marseille 02,6882.0,18.0,40.0
Marseille 03,6882.0,18.0,40.0
Marseille 04,6882.0,18.0,40.0
Marseille 05,6882.0,18.0,40.0
Marseille 06,6883.0,18.0,40.0
Marseille 07,6883.0,18.0,40.0
Marseille 08,6883.0,18.0,40.0
Marseille 10,6883.0,18.0,40.0
Marseille 09,6883.0,18.0,40.0
Marseille 11,9073.0,18.0,40.0
Marseille 12,9073.0,18.0,40.0
Marseille 13,6882.0,18.0,40.0
Marseille 14,6884.0,21.0,37.0
Marseille 15,6884.0,21.0,37.0
Marseille 16,6884.0,21.0,37.0
La Defense,3085.0,25.0,28.0
Saint-Quentin-en-Yvelines,,,
Cergy-Pontoise,3104.0,29.0,32.0
